2025-12-18 20:58:52 INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2025-12-18 20:58:54 INFO  o.e.a.m.JournalApplication1uptoSonarQubeApplication - Starting JournalApplication1uptoSonarQubeApplication using Java 21.0.8 on Vish with PID 22472 (C:\Users\vbari\Downloads\Intellij_JournalApplication\SpringProjectEclipse\JournalApplication1uptoSonarQube\target\classes started by vbari in C:\Users\vbari\Downloads\Intellij_JournalApplication\SpringProjectEclipse\JournalApplication1uptoSonarQube)
2025-12-18 20:58:54 INFO  o.e.a.m.JournalApplication1uptoSonarQubeApplication - The following 1 profile is active: "dev"
2025-12-18 20:58:54 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-12-18 20:58:54 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-12-18 20:58:55 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-12-18 20:58:55 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 53 ms. Found 2 MongoDB repository interfaces.
2025-12-18 20:58:55 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2025-12-18 20:58:55 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-12-18 20:58:55 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-18 20:58:55 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2025-12-18 20:58:55 INFO  o.a.c.c.C.[.[.[/app.ejournal.org] - Initializing Spring embedded WebApplicationContext
2025-12-18 20:58:55 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1129 ms
2025-12-18 20:58:55 INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster0.rdlzl4t.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='atlas-4eimto-shard-0'}
2025-12-18 20:58:55 INFO  org.mongodb.driver.cluster - Adding discovered server ac-fgdctwf-shard-00-02.rdlzl4t.mongodb.net:27017 to client view of cluster
2025-12-18 20:58:55 INFO  org.mongodb.driver.cluster - Adding discovered server ac-fgdctwf-shard-00-01.rdlzl4t.mongodb.net:27017 to client view of cluster
2025-12-18 20:58:55 INFO  org.mongodb.driver.cluster - Adding discovered server ac-fgdctwf-shard-00-00.rdlzl4t.mongodb.net:27017 to client view of cluster
2025-12-18 20:58:55 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-12-18 20:58:55 INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@5ad81ee9 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-fgdctwf-shard-00-01.rdlzl4t.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-fgdctwf-shard-00-00.rdlzl4t.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-fgdctwf-shard-00-02.rdlzl4t.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
2025-12-18 20:58:56 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:70130}] to ac-fgdctwf-shard-00-00.rdlzl4t.mongodb.net:27017
2025-12-18 20:58:56 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:72770}] to ac-fgdctwf-shard-00-02.rdlzl4t.mongodb.net:27017
2025-12-18 20:58:56 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:69611}] to ac-fgdctwf-shard-00-01.rdlzl4t.mongodb.net:27017
2025-12-18 20:58:56 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:70130}] to ac-fgdctwf-shard-00-00.rdlzl4t.mongodb.net:27017
2025-12-18 20:58:56 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:72770}] to ac-fgdctwf-shard-00-02.rdlzl4t.mongodb.net:27017
2025-12-18 20:58:56 INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:69611}] to ac-fgdctwf-shard-00-01.rdlzl4t.mongodb.net:27017
